,address,lat,lon
0,29 NORTH ADAMS STREET AKRON OH,41.0782475,-81.49805909999999
1,555 HARTSVILLE PIKE GALLATIN TN,36.39077839999999,-86.43250669999999
2,10101 DOUBLE R BLVD RENO NV,39.4359707,-119.7600878
3,995 NINTH AVENUE SOUTHWEST BESSEMER AL,33.3723366,-86.9909026
4,2000 EOFF STREET WHEELING WV,40.0606184,-80.7219614
5,4199 MILL POND DRIVE HIGHLAND HILLS OH,41.4503724,-81.52236309999999
6,1541 KINGS HIGHWAY SHREVEPORT LA,32.4813246,-93.76208899999999
7,350 BLOSSOM STREET WEBSTER TX,29.5435537,-95.1274755
8,5400 S RAINBOW BLVD LAS VEGAS NV,36.090141,-115.2401806
9,2717 TIBBETS DRIVE BEDFORD TX,32.8342383,-97.1224536
10,2003 KOOTENAI HEALTH WAY COEUR D'ALENE ID,47.6957264,-116.7945197
11,711 W ADAMS ST BLACK RIVER FALLS WI,44.30328799999999,-90.8552205
12,1872 ST LUKE'S BLVD EASTON PA,40.64906,-75.2881049
13,1201 HILL ROAD SMITHVILLE TX,30.0039505,-97.1360218
14,407 3RD ST SE MINOT ND,48.2323592,-101.2880618
15,1001 PINE STREET RENOVO PA,41.3279685,-77.73673749999999
16,"250 OLD HOOK ROAD, 4TH FLOOR WESTWOOD NJ",40.9853767,-74.0151395
17,"102 EAST HOLME, PO BOX 250 NORTON KS",39.8381066,-99.8882529
18,45 W 111TH STREET CHICAGO IL,41.6922672,-87.62611919999999
19,300 ROCKEFELLER DRIVE MUSKOGEE OK,35.7526359,-95.40589949999999
20,600 PEMBERTON-BROWNS MILLS ROAD PEMBERTON NJ,39.9666405,-74.64810080000001
21,205 ORCHARD DRIVE SISSETON SD,45.6574454,-97.05006
22,"2221 NORTH ROSEMONT BOULEVARD, BLDG 3, SUITE 200 TUCSON AZ",32.2482991,-110.8848155
23,19300 SW 65TH AVENUE TUALATIN OR,45.3785995,-122.7407028
24,"1102 ST MARYS RD, PO BOX 490 JUNCTION CITY KS",39.0140681,-96.85110399999999
25,701 8TH AVENUE NORTHWEST ABERDEEN SD,45.4729247,-98.5003183
26,965 SHAMROCK LANE CORRY PA,41.9362259,-79.6129232
27,3401 WEST GORE BOULEVARD LAWTON OK,34.609365,-98.43452500000001
28,4300 WEST SEVENTH STREET LITTLE ROCK AR,34.7360105,-92.3216808
29,"704 NORTH THIRD ST, PO BOX 489 PLAINVIEW NE",42.3497265,-97.7920091
30,1818 COLLEGE DRIVE MERIDIAN MS,32.3759057,-88.72714429999999
31,"5140 DUNSTAN RD, PO BOX 13890 GREENSBORO NC",36.1478777,-79.7287046
32,420 FRANKLIN STREET RUMFORD ME,44.5515937,-70.5562906
33,18101 LORAIN AVENUE CLEVELAND OH,41.45015009999999,-81.8239595
34,5602 CAITO DRIVE INDIANAPOLIS IN,39.8557946,-86.0437984
35,10401 WEST THUNDERBIRD BOULEVARD SUN CITY AZ,33.6038419,-112.2835588
36,38600 MEDICAL CENTER DR PALMDALE CA,34.5828766,-118.1448173
37,8801 9TH AVENUE PORT ARTHUR TX,29.9530869,-93.98632789999999
38,2826 WESTCHESTER AVE BRONX NY,40.8440698,-73.83538180000001
39,400 EAST POLK STREET WASHINGTON IA,41.2893139,-91.6875347
40,201 14TH ST WHEATLAND WY,42.04990799999999,-104.9606981
41,44201 DEQUINDRE ROAD TROY MI,42.6186567,-83.0930638
42,"1815 HAND AVENUE, PO BOX 1409 BAY MINETTE AL",30.903945,-87.785172
43,1 GOOD SAMARITAN WAY MT. VERNON IL,38.2972482,-88.93775749999999
44,388 BEN BOLT AVENUE TAZEWELL VA,37.1238517,-81.4891675
45,851 LOCUST STREET ROGERSVILLE TN,36.3997791,-83.01440079999999
46,6780 MAYFIELD ROAD MAYFIELD HTS OH,41.5188509,-81.4353666
47,20 HOMESTEAD AVENUE WHEELING WV,40.0798837,-80.69397769999999
48,111 FRANKLIN HEALTH COMMONS FARMINGTON ME,44.6262135,-70.16318729999999
49,690 BARNES BLVD MCCHORD AFB WA,47.1299707,-122.4957111
50,456 BURNLEY ROAD SCOTTSVILLE KY,36.7617811,-86.2169018
51,2025 DESOTO STREET SHREVEPORT LA,32.4722527,-93.7708938
52,404 NORTH KAUFMAN STREET LINDEN TX,33.0139875,-94.3636188
53,102 E CULVER RD KNOX IN,41.2877328,-86.6218971
54,275 BEATTY DRIVE BELMONT NC,35.2631148,-81.0301772
55,1101 OCILLA ROAD DOUGLAS GA,31.5104908,-82.8635182
56,43563 STATE HIGHWAY 299 E FALL RIVER MILLS CA,41.02367640000001,-121.4240081
57,2600 L STREET SACRAMENTO CA,38.5718554,-121.4724869
58,175 HARRY S TRUMAN PARKWAY ANNAPOLIS MD,38.9781626,-76.5578271
59,901 WESTLAKE DRIVE COLUMBIA KY,37.0966365,-85.29447379999999
60,326 WASHINGTON ST NORWICH CT,41.5425414,-72.0888772
61,301 UNIVERSITY BLVD GALVESTON TX,29.3121155,-94.77312289999999
62,27300 IRIS AVE MORENO VALLEY CA,33.8967156,-117.1862588
63,935-B SPRING STREET PLACERVILLE CA,38.7333354,-120.8024397
64,201 CEDAR STREET SE ALBUQUERQUE NM,35.0812558,-106.6356933
65,525 N SANTIAM HIGHWAY LEBANON OR,44.5513852,-122.9065558
66,1111 E STANLEY BOULEVARD LIVERMORE CA,37.677353,-121.7819586
67,1725 TIMBERLINE ROAD MAUMEE OH,41.5897941,-83.6892716
68,800 NORTH JUSTICE STREET HENDERSONVILLE NC,35.3205326,-82.46774479999999
69,1121 NE 2ND AVENUE PORTLAND OR,45.5318696,-122.6639732
70,221 MAHALANI STREET WAILUKU HI,20.8852102,-156.4903472
71,42121 US HIGHWAY 70 PORTALES NM,34.169133,-103.361978
72,"3500 GASTON AVENUE, 3RD AND 4TH FLOORS DALLAS TX",32.7899441,-96.7804266
73,6900 ALDEN DRIVE F.E. WARREN AFB WY,41.1587703,-104.8611671
74,4725 N FEDERAL HWY FORT LAUDERDALE FL,26.1866679,-80.1196531
75,1575 CAMBRIDGE STREET CAMBRIDGE MA,42.3757224,-71.1070658
76,6750 EAST BAYWOOD AVENUE MESA AZ,33.4110055,-111.6855596
77,5666 E STATE STREET ROCKFORD IL,42.2697116,-89.0073268
78,1401 WEST 5TH ST SHERIDAN WY,44.808659,-106.975756
79,700 THIRD STREET LOYALTON CA,39.6800915,-120.2440384
80,1706 S 68TH ST MILWAUKEE WI,43.0108486,-87.9968382
81,10 4TH AVENUE SE GLENWOOD MN,45.64639090000001,-95.3894705
82,101 HOSPITAL DRIVE MAGNOLIA AR,33.2742233,-93.239115
83,"1910 CHEROKEE AVENUE, SW CULLMAN AL",34.1509873,-86.84611149999999
84,14000 BOYS TOWN HOSPITAL ROAD BOYS TOWN NE,41.249734,-96.133392
85,7800 SHERIDAN ST PEMBROKE PINES FL,26.0296956,-80.24554909999999
86,1008 NORTH MAIN STREET SIKESTON MO,36.8896243,-89.5832845
87,200 HOSPITAL DRIVE ANAHUAC TX,29.7525022,-94.68746879999999
88,1481 WEST TENTH STREET INDIANAPOLIS IN,39.7775841,-86.1867152
89,1518 MULBERRY AVENUE MUSCATINE IA,41.4332299,-91.0544985
90,300 1ST CAPITOL DRIVE ST. CHARLES MO,38.7799192,-90.4832866
91,7590 AUBURN ROAD CONCORD OH,41.6633563,-81.24732279999999
92,1 HOSPITAL ROAD CHEROKEE NC,35.4848308,-83.3231567
93,2001 DOCTORS DRIVE SPRINGHILL LA,33.010286,-93.44389
94,6020 WEST PARKER ROAD PLANO TX,33.0450361,-96.83108039999999
95,601 MAIN ST DUNEDIN FL,28.0140597,-82.78375609999999
96,110 METKER TRAIL STANFORD KY,37.5425779,-84.6532254
97,4700 SOUTH I-10 SERVICE ROAD WEST METAIRIE LA,29.99718549999999,-90.18721359999999
98,1200 N STATE ST LOS ANGELES CA,34.0580024,-118.2088248
99,1650 COWLES ST FAIRBANKS AK,64.82991439999999,-147.7390375
